Date,Quantity,Sales_Amount,Profit,Promotions,Holiday_Flag,day_of_week,day_of_month,week_of_year,month,quarter,is_weekend,days_since_start,quantity_lag_1,sales_lag_1,quantity_lag_7,sales_lag_7,quantity_lag_14,sales_lag_14,quantity_lag_28,sales_lag_28,quantity_rolling_mean_7,quantity_rolling_std_7,sales_rolling_mean_7,quantity_rolling_mean_14,quantity_rolling_std_14,sales_rolling_mean_14,quantity_rolling_mean_28,quantity_rolling_std_28,sales_rolling_mean_28
2018-01-29,3842,13282797.838378416,4081518.1421411503,0,0,0,29,5,1,1,0,28,4305.0,15086694.056611031,3848.0,13293880.089958796,3820.0,13291218.535010155,3606.0,12392453.759557804,4024.285714285714,237.62836130234433,13907753.63085492,3963.5714285714284,238.41841510114236,13716544.745954867,3895.4285714285716,239.87734961255276,13472367.636943327
2018-01-30,3870,13572393.927710831,4183851.498659709,0,0,1,30,5,1,1,0,29,3842.0,13282797.838378416,3797.0,13137415.32906416,3720.0,12871015.327580037,3665.0,12710713.89474338,4023.4285714285716,238.3798489406179,13906170.452057721,3965.1428571428573,237.4699518296536,13715943.26762403,3903.8571428571427,233.38947170479975,13504165.63975835
2018-01-31,3868,13507746.677592,4159411.2782775033,0,0,2,31,5,1,1,0,30,3870.0,13572393.927710831,3858.0,13216478.123907406,3772.0,13133564.588394046,3638.0,12590143.349677589,4033.8571428571427,228.20270855201434,13968310.251864389,3975.8571428571427,228.78369264870696,13766041.739061942,3911.1785714285716,228.78909155092694,13534939.926650045
2018-02-01,3885,13500956.129349625,4145452.287293864,0,0,3,1,5,2,1,0,31,3868.0,13507746.677592,3853.0,13232073.863373736,3744.0,12848821.04239858,3692.0,12768579.230606643,4035.285714285714,226.94618619525383,14009920.045247903,3982.714285714286,223.58320721702367,13792769.031147512,3919.3928571428573,222.6647270849847,13567711.474075558
2018-02-02,3953,13578073.345313266,4172883.790846835,0,0,4,2,5,2,1,0,32,3885.0,13500956.129349625,4170.0,14378319.447684644,3760.0,13160231.5470144,3648.0,12750682.531055044,4039.8571428571427,222.94949246516705,14048331.797530174,3992.785714285714,215.01455355802838,13839350.108786872,3926.285714285714,218.30947403863738,13593867.791887807
2018-02-03,4332,15166607.52801594,4679635.622379266,0,0,5,3,5,2,1,1,33,3953.0,13578073.345313266,4339.0,15009414.505384663,4223.0,14586221.52390412,4135.0,14263844.353987982,4008.8571428571427,216.84051633356944,13934010.925762834,4006.5714285714284,204.89010723789485,13869195.951522503,3937.1785714285716,211.4099148961613,13623417.463825602
2018-02-04,4347,14898173.02552449,4586719.633122808,0,0,6,4,5,2,1,1,34,4332.0,15166607.52801594,4305.0,15086694.056611031,4281.0,14786278.463082382,4111.0,14077165.87874873,4007.8571428571427,215.0731879860334,13956467.071853016,4014.3571428571427,215.5410391559797,13910652.094673349,3944.214285714286,221.28469297245888,13655659.005755171
2018-02-05,3966,13778431.637215909,4214137.400553084,0,0,0,5,6,2,1,0,35,4347.0,14898173.02552449,3842.0,13282797.838378416,3848.0,13293880.089958796,3733.0,12988393.838422049,4013.8571428571427,225.09659302280795,13929535.49598351,4019.0714285714284,222.43321012617017,13918644.563419214,3952.6428571428573,232.10282113046284,13684980.689568592
2018-02-06,3893,13530574.34155219,4168401.5834861225,0,0,1,6,6,2,1,0,36,3966.0,13778431.637215909,3870.0,13572393.927710831,3797.0,13137415.32906416,3649.0,12669904.616661027,4031.5714285714284,213.91965558970603,14000340.324388865,4027.5,217.63616427423088,13953255.388223294,3960.964285714286,228.07836245025408,13713196.325239802
2018-02-07,3934,13709643.321474517,4240733.133154775,0,0,2,7,6,2,1,0,37,3893.0,13530574.34155219,3868.0,13507746.677592,3858.0,13216478.123907406,3742.0,12877382.03761595,4034.8571428571427,211.1835130650013,13994366.097794775,4034.3571428571427,211.23323133914803,13981338.174829584,3969.6785714285716,220.24431780141248,13743934.5297002
2018-02-08,3959,13804839.452153591,4256259.080689131,0,0,3,8,6,2,1,0,38,3934.0,13709643.321474517,3885.0,13500956.129349625,3853.0,13232073.863373736,3774.0,13015413.803795794,4044.285714285714,203.83793749423614,14023208.475492274,4039.785714285714,207.29213075398567,14016564.26037009,3976.535714285714,215.83798487357544,13773658.146980863
2018-02-09,4014,13899691.207478834,4272636.800845021,0,0,4,9,6,2,1,0,39,3959.0,13804839.452153591,3953.0,13578073.345313266,4170.0,14378319.447684644,3776.0,13059437.76743006,4054.8571428571427,195.96719842142508,14066620.378749985,4047.3571428571427,201.80821327452202,14057476.08814008,3983.1428571428573,212.20949018568368,13801851.920136498
2018-02-10,4491,15706402.937414838,4824075.062423763,0,0,5,10,6,2,1,1,40,4014.0,13899691.207478834,4332.0,15166607.52801594,4339.0,15009414.505384663,4148.0,14384801.458706183,4063.5714285714284,191.99900793394315,14112565.787630782,4036.214285714286,198.79992979855933,14023288.356696809,3991.6428571428573,208.3363047407147,13831860.971566811
