Date,Quantity,Sales_Amount,Profit,Products_Sold,Promotions,Holiday_Flag
2018-01-01,3606,12392453.759557804,3804958.7200873643,400,0,0
2018-01-02,3665,12710713.89474338,3938511.2286806214,400,0,0
2018-01-03,3638,12590143.349677587,3888805.0021559685,400,0,0
2018-01-04,3692,12768579.230606643,3917845.5008263686,400,0,0
2018-01-05,3648,12750682.531055043,3965116.607656621,400,0,0
2018-01-06,4135,14263844.353987982,4379250.992474797,400,0,0
2018-01-07,4111,14077165.87874873,4356760.3924912,400,0,0
2018-01-08,3733,12988393.838422047,3983564.197760016,400,0,0
2018-01-09,3649,12669904.616661027,3909384.761228603,400,0,0
2018-01-10,3742,12877382.03761595,3966895.343210835,400,0,0
2018-01-11,3774,13015413.803795794,4035985.92751183,400,0,0
2018-01-12,3776,13059437.76743006,4030464.223164438,400,0,0
2018-01-13,4148,14384801.458706185,4429270.986649117,400,0,0
2018-01-14,4265,14645750.870036764,4481546.810113217,400,0,0
2018-01-15,3820,13291218.535010157,4113460.535026861,400,0,0
2018-01-16,3720,12871015.327580035,3951395.2094408064,400,0,0
2018-01-17,3772,13133564.588394046,4041386.2863268103,400,0,0
2018-01-18,3744,12848821.04239858,3958981.2846385115,400,0,0
2018-01-19,3760,13160231.547014399,4092687.2521046135,400,0,0
2018-01-20,4223,14586221.52390412,4507039.800791903,400,0,0
2018-01-21,4281,14786278.463082382,4567304.130098225,400,0,0
2018-01-22,3848,13293880.089958796,4074656.411136638,400,0,0
2018-01-23,3797,13137415.329064159,4039348.9015927943,400,0,0
2018-01-24,3858,13216478.123907406,4070750.6022108416,400,0,0
2018-01-25,3853,13232073.863373736,4019461.5890150797,400,0,0
2018-01-26,4170,14378319.447684644,4418739.996390149,400,0,1
2018-01-27,4339,15009414.505384663,4643204.708835653,400,0,0
2018-01-28,4305,15086694.056611033,4634922.207126247,400,0,0
2018-01-29,3842,13282797.838378416,4081518.1421411503,400,0,0
2018-01-30,3870,13572393.927710831,4183851.498659709,400,0,0
2018-01-31,3868,13507746.677592,4159411.2782775033,400,0,0
2018-02-01,3885,13500956.129349625,4145452.2872938644,400,0,0
2018-02-02,3953,13578073.345313266,4172883.790846835,400,0,0
2018-02-03,4332,15166607.52801594,4679635.622379266,400,0,0
2018-02-04,4347,14898173.02552449,4586719.633122808,400,0,0
2018-02-05,3966,13778431.637215909,4214137.400553084,400,0,0
2018-02-06,3893,13530574.34155219,4168401.5834861225,400,0,0
2018-02-07,3934,13709643.321474515,4240733.133154775,400,0,0
2018-02-08,3959,13804839.452153591,4256259.080689131,400,0,0
2018-02-09,4014,13899691.207478834,4272636.800845021,400,0,0
2018-02-10,4491,15706402.937414838,4824075.062423763,400,0,0
2018-02-11,4428,15185297.689541327,4688845.080499825,400,0,0
2018-02-12,4008,13792393.396193968,4220995.800289279,400,0,0
2018-02-13,4057,14066046.760257587,4343145.8501403425,400,0,0
2018-02-14,4013,13921291.491929654,4307997.166236442,400,0,0
2018-02-15,3968,13785295.21652099,4233876.468884087,400,0,0
2018-02-16,4029,14072226.397183534,4359154.073654495,400,0,0
2018-02-17,4573,15872627.695428457,4905682.857992417,400,0,0
2018-02-18,4478,15372263.70230137,4711321.017870474,400,0,0
2018-02-19,4007,13839240.42269961,4260824.937560332,400,0,0
2018-02-20,4123,14272944.81007823,4420725.246108765,400,0,0
2018-02-21,4071,14077550.955040943,4331369.9686080115,400,0,0
2018-02-22,4108,14221806.105267867,4403508.92760674,400,0,0
2018-02-23,4110,14387273.515266636,4420798.742080661,400,0,0
2018-02-24,4514,15638020.99496383,4830374.234194505,400,0,0
2018-02-25,4605,15907642.821486872,4925365.895787097,400,0,0
2018-02-26,4063,14096946.579778416,4342454.648906004,400,0,0
2018-02-27,4111,14261014.84990203,4380497.4883272275,400,0,0
2018-02-28,4096,14210378.873187551,4366377.663011953,400,0,0
2018-03-01,5072,15745586.32068467,3657091.1707971194,400,400,0
2018-03-02,4895,15305886.151749063,3512378.266349911,400,400,0
2018-03-03,5475,17211956.37817594,4123950.9853336955,400,400,0
2018-03-04,5572,17397158.975664664,4024242.0159139736,400,400,0
2018-03-05,4987,15520449.495160319,3624651.4951595776,400,400,0
2018-03-06,4965,15625239.658179339,3610794.309556027,400,400,0
2018-03-07,5018,15651063.61507092,3595964.1931188647,400,400,0
2018-03-08,4143,14295402.829118434,4401832.839806273,400,0,0
2018-03-09,4205,14705994.324125115,4559222.152561568,400,0,0
2018-03-10,4731,16407377.300573813,5061787.025993824,400,0,0
2018-03-11,4809,16584292.899976492,5117935.010608246,400,0,0
2018-03-12,4138,14427900.697934536,4444115.164354714,400,0,0
2018-03-13,4289,14924357.009314336,4627953.660532661,400,0,0
2018-03-14,4270,14785723.767400004,4629366.373836528,400,0,0
2018-03-15,4182,14596726.346351845,4464407.045642392,400,0,0
2018-03-16,4223,14658047.75366111,4547446.094530037,400,0,0
2018-03-17,4748,16534802.0369076,5115877.235291632,400,0,0
2018-03-18,4791,16683956.879988873,5138450.089084986,400,0,0
2018-03-19,4212,14635221.497431789,4536711.884659277,400,0,0
2018-03-20,4251,14789576.101462519,4587328.296963008,400,0,0
2018-03-21,4210,14700800.282065287,4588975.9902349245,400,0,0
2018-03-22,4326,14817376.38341744,4552100.873650147,400,0,0
2018-03-23,4323,14993028.226300796,4602819.39994217,400,0,0
2018-03-24,4868,16894935.711607605,5231817.234741801,400,0,0
2018-03-25,4873,16946022.866490215,5244822.484111451,400,0,0
2018-03-26,4240,14875512.725009413,4600224.3108292855,400,0,0
2018-03-27,4351,15111584.181534313,4681357.215206058,400,0,0
2018-03-28,4288,14899175.488340734,4572652.368638623,400,0,0
2018-03-29,4259,14628640.290196028,4498012.786075493,400,0,0
2018-03-30,4343,15060781.84386492,4666450.527206538,400,0,0
2018-03-31,4790,16665938.60856475,5133668.009886155,400,0,0
2018-04-01,4851,16932753.278014034,5206314.558873836,400,0,0
2018-04-02,4359,15005456.089196084,4641654.714902093,400,0,0
2018-04-03,4326,15017257.231113696,4655613.559098447,400,0,0
2018-04-04,4335,15067945.775102735,4683485.880037629,400,0,0
2018-04-05,4351,15044136.334235992,4644863.622734717,400,0,0
2018-04-06,4331,15073805.335191285,4722380.440612064,400,0,0
2018-04-07,4898,16854280.606334377,5163374.729221103,400,0,0
2018-04-08,4854,16842495.478723064,5164251.0999464765,400,0,0
2018-04-09,4434,15532134.482222341,4786882.51318993,400,0,0
2018-04-10,4413,15465465.217149174,4798207.280486064,400,0,0
2018-04-11,4397,15374507.404044116,4745464.3729155725,400,0,0
2018-04-12,4325,14976471.553099507,4615404.13163559,400,0,0
2018-04-13,4398,15487000.964692932,4784386.374556245,400,0,0
2018-04-14,4980,17505938.145457696,5437515.7900356315,400,0,0
2018-04-15,4819,16676565.841734018,5123689.428141477,400,0,0
2018-04-16,4385,15233075.86359377,4695219.387745768,400,0,0
2018-04-17,4374,15257018.295836682,4724486.218185531,400,0,0
2018-04-18,4406,15328912.227248313,4708471.39483165,400,0,0
2018-04-19,4407,15295808.060043471,4757044.181107171,400,0,0
2018-04-20,4361,15225185.089585386,4691313.186582605,400,0,0
2018-04-21,4931,16972993.264816646,5240247.395950713,400,0,0
2018-04-22,4900,17053330.97157968,5289737.958735177,400,0,0
2018-04-23,4393,15328626.225442497,4756346.949250531,400,0,0
2018-04-24,4473,15652590.296037668,4881759.75334626,400,0,0
2018-04-25,4389,15178264.64889962,4694994.164669632,400,0,0
2018-04-26,4372,15064485.159616498,4643427.533268534,400,0,0
2018-04-27,4354,15210923.028646842,4728850.972955239,400,0,0
2018-04-28,4896,16899808.815259337,5213182.738146758,400,0,0
2018-04-29,4909,17156476.92527789,5309255.556146089,400,0,0
2018-04-30,4404,15398709.048872951,4777168.984220977,400,0,0
2018-05-01,4404,15401641.19291897,4772012.903580407,400,0,0
2018-05-02,4427,15344854.110766524,4717113.477989818,400,0,0
2018-05-03,4370,15154442.940411745,4711043.328516495,400,0,0
2018-05-04,4459,15490507.86585246,4784344.663487733,400,0,0
2018-05-05,4924,16908416.735244785,5226503.490154128,400,0,0
2018-05-06,4970,17242916.08602079,5344267.597081994,400,0,0
2018-05-07,4419,15460585.131349418,4766389.785040616,400,0,0
2018-05-08,4524,15596517.59496744,4842710.976062349,400,0,0
2018-05-09,4402,15485921.75473252,4783151.922696328,400,0,0
2018-05-10,4483,15350945.156752551,4750436.087978308,400,0,0
2018-05-11,4445,15467290.509690069,4773474.888783654,400,0,0
2018-05-12,4805,16611785.10360454,5169507.762140795,400,0,0
2018-05-13,4902,17013873.77662859,5300652.103718902,400,0,0
2018-05-14,4375,15135410.836458469,4696470.727649255,400,0,0
