Product_ID,Category_ID,Total_Quantity,Total_Sales,Total_Profit,Avg_Daily_Inventory,Avg_Reorder_Point
1,1,40612,113580794.07400914,14230266.32850102,178.0766598220397,72.0
10,1,26386,187520080.8525061,59063418.257215224,117.63586584531143,63.0
100,2,24649,142982506.8074201,36414098.26728363,138.01745379876797,156.0
101,3,43261,41689893.35053796,13262142.894164095,151.94455852156057,61.0
102,3,44188,293762124.2870522,116555990.7707298,185.08213552361397,123.0
103,3,30593,166088805.12763855,35139216.49566737,87.46646132785763,47.0
104,3,46141,79040750.24873047,24162623.49937702,212.87405886379193,85.0
105,3,14853,12188028.347556548,5191657.374968255,67.34941820670774,27.0
106,3,132103,903069860.5939304,361187378.20283884,510.0232717316906,272.0
107,3,44254,17413067.399966624,3665760.8209248586,221.19678302532512,89.0
108,3,19797,51959569.80858688,21673902.31634122,71.61601642710473,29.0
109,3,81701,511167018.4138161,199279764.4755398,391.282340862423,157.0
11,1,47478,48898488.819861636,6208131.259208577,223.32751540041068,119.0
110,3,18897,52851645.57472901,15384916.851598887,104.34052019164956,42.0
111,3,9351,65224626.07387551,27643416.677024536,31.5,13.0
112,3,31858,48614593.49015963,16265933.7601534,131.42847364818618,71.0
113,3,22791,46212878.53285529,4489842.800142205,89.98117727583846,60.0
114,3,154949,361691412.46662766,67286155.42329572,707.211498973306,613.0
115,3,11008,52524910.04697218,6015389.274079755,39.780287474332646,26.0
116,3,39196,243130763.89695433,78533850.50447659,151.9472963723477,51.0
117,3,53461,15176898.49201288,2766558.152139947,212.32375085557837,85.0
118,3,14816,46173224.82106478,18046601.51638496,73.25188227241615,83.0
119,3,33862,130237671.29906905,38104764.591712065,111.66598220396989,75.0
12,1,15866,57415151.82262187,21543026.527786575,82.40383299110198,44.0
120,3,35282,107285686.34020941,16888979.991102226,143.94079397672826,48.0
121,3,27775,31639842.236746658,4156443.196903498,152.97878165639972,102.0
122,3,14266,22574340.95731929,2840933.976098468,78.64271047227926,89.0
123,3,46058,200992037.50132415,80463105.59887546,176.86584531143052,59.0
124,3,32006,278616122.11087066,121372984.01136953,119.59479808350444,135.0
125,3,51163,432092362.05746615,181615302.92947727,197.78131416837783,106.0
126,3,14957,69555637.69886294,17599202.52314992,59.46303901437371,32.0
127,3,22241,14305508.091606181,5057045.939712207,66.217659137577,23.0
128,3,17868,113158072.82584679,41461308.69125996,81.13655030800821,33.0
129,3,56846,15453334.969400799,5554455.694051025,212.84428473648185,142.0
13,1,16925,46153782.986831136,12458497.099527441,77.25119780971937,31.0
130,3,43848,334641200.78314084,131647042.23662202,124.572553045859,83.0
131,3,104530,264012819.28559056,93903998.10232393,392.32785763175906,262.0
132,3,20663,41705479.16661993,14068486.194442743,88.73956194387407,101.0
133,3,17159,93975240.63185956,26161353.16481924,89.3949349760438,48.0
134,3,30465,55336008.635077335,23326113.718719997,101.20431211498973,68.0
135,3,13829,31497082.560339972,4938709.436731341,67.73853524982889,45.0
136,3,28479,152591740.70051724,64586147.34016075,134.68446269678302,153.0
137,3,30248,86884087.83153234,36403657.72478171,127.07186858316221,85.0
138,3,45645,219483826.16050985,69983296.37116499,181.76283367556468,158.0
139,3,15760,79837175.17553759,23414375.05619555,52.57494866529774,21.0
14,1,25729,5030627.493912807,1214290.5317979841,106.13552361396304,57.0
140,3,19446,32253981.27509007,10377763.690843044,87.69986310746064,47.0
141,3,85259,409072688.01949483,46607620.98918002,332.3672142368241,288.0
142,3,7157,20678125.329482164,8849327.387192959,27.311430527036276,15.0
143,3,31089,117690826.48339917,48047079.163049415,119.15058179329226,48.0
144,3,25660,36215036.896312684,10163592.407679671,114.68412046543463,61.0
145,3,18881,11944670.640947726,5175898.199350185,61.94284736481862,21.0
146,3,22995,72651033.42778476,6283720.111227706,117.68069815195072,47.0
147,3,38704,87121771.8972952,34431287.2109043,206.40383299110198,138.0
148,3,46430,290368937.6837625,107706963.14176291,167.34360027378509,67.0
149,3,20607,107013966.66607061,30193341.82857774,97.96132785763176,53.0
15,1,72892,428153141.29813004,166611499.20214,307.7987679671458,123.0
150,3,17928,27122836.882422846,4925542.728037882,78.45687885010267,32.0
151,4,43534,160114247.34261274,55904944.209334835,172.41375770020534,69.0
152,4,46848,175737090.68712687,27475328.982742656,162.15058179329228,108.0
153,4,21112,99343325.24026,27491039.67465752,82.3754277891855,93.0
154,4,43387,90275835.43721834,18338975.505911265,136.8949349760438,92.0
155,4,49426,15606866.42715918,1424989.093555768,182.82991101984942,73.0
156,4,30316,182997391.0359015,32613162.116455983,102.82443531827515,35.0
157,4,29149,89850988.96164943,13062048.880527675,141.7498288843258,76.0
158,4,96960,334934509.5813637,30521808.604178514,276.84017796030116,185.0
159,4,67981,69914869.48503056,19505685.17725322,242.84873374401096,162.0
16,1,39120,169560605.63826036,40072690.94455874,201.63963039014374,81.0
160,4,49217,214021000.80781513,77361298.6545449,169.09445585215605,90.0
161,4,77294,51410078.181986466,7178537.307243188,282.33572895277206,151.0
162,4,9929,44374152.94061371,6461463.94274525,35.95208761122519,15.0
163,4,24073,57248863.75420516,17918881.97502758,92.01300479123887,49.0
164,4,11025,15553905.503172273,5222401.338333508,59.464407939767284,24.0
165,4,60030,309840611.1492655,130229341.76981702,221.61156741957564,89.0
166,4,40373,119713435.0288546,28643615.850278422,204.24332648870637,136.0
167,4,45378,73877519.4190286,19619947.880952753,203.0044490075291,68.0
168,4,9764,23743474.013078354,8678120.473659655,44.78370978781656,24.0
169,4,36345,123664801.9842177,16501145.439571898,129.49965776865162,43.0
17,1,44859,166314404.38074416,48469615.83565888,156.9671457905544,84.0
170,4,44244,192823948.3583561,66153306.98536932,174.77241615331965,58.0
171,4,22593,123715315.6483559,51678082.772373356,81.44045174537987,55.0
172,4,68306,172022249.91080335,41872178.282063164,203.9952087611225,109.0
173,4,20987,144751451.1421839,46971780.899889454,103.44626967830253,42.0
174,4,41802,247276415.04323375,85162058.5792482,168.613620807666,191.0
175,4,8620,70363382.4684004,30524672.223692562,36.88124572210815,20.0
176,4,14379,24823505.6863544,4030973.0660867095,57.27446954140999,23.0
177,4,24460,143110877.51441923,35531358.77368043,93.84599589322382,50.0
178,4,10656,70014781.26808597,26160851.318521146,44.24229979466119,18.0
179,4,21727,83161901.83356202,36399919.25261871,101.7138945927447,68.0
18,1,13892,23608174.70784036,6866366.909014056,48.318617385352496,20.0
180,4,57284,93590092.53411232,16937988.813464653,201.6930184804928,68.0
181,4,23450,6507622.473920757,2800625.542926151,102.80458590006845,55.0
182,4,17535,48633047.86309202,16213626.381774588,66.41957563312799,36.0
183,4,33761,58274055.57264304,18220815.024613902,144.5807665982204,96.0
184,4,20035,69767475.39001778,25310321.066696536,77.62183436002738,52.0
185,4,21500,11621089.13943535,5039557.251907412,72.22416153319644,63.0
186,4,98929,189751229.32056066,24416811.807303447,369.2149212867899,148.0
187,4,6379,19433135.152335633,7741260.936423796,34.54654346338125,30.0
188,4,40291,107425675.9989587,41331794.40969454,217.9390828199863,189.0
189,4,26197,17364981.218091357,7246561.656712484,111.9154688569473,75.0
19,1,56888,229905156.93892357,74480878.9922776,202.5800821355236,135.0
190,4,193079,104934801.22037622,44914605.62888209,1019.0249828884325,340.0
191,4,56150,245083709.9893664,96443660.90486087,202.0366187542779,135.0
192,4,13021,34296630.828454986,12675130.05129729,66.4835728952772,45.0
193,4,22651,6235146.8101504715,1662035.0001306452,126.30835044490075,68.0
194,4,6619,37096373.65833355,13726925.861054616,36.771047227926076,15.0
195,4,39940,43317038.41783357,10754773.669134326,129.47741273100615,43.0
196,4,21176,12027054.499254735,1822573.553410323,78.56913073237509,68.0
197,4,11319,7483823.543778633,2586000.7575731645,68.40759753593429,46.0
198,4,19443,86083892.64291053,17231833.981413346,71.42402464065708,81.0
199,4,85088,159276278.50215715,56254614.897617266,392.8613963039014,131.0
2,1,22458,102743602.06191978,25932558.55669741,98.38466803559206,66.0
20,1,34161,71724239.94816959,25829338.524185028,98.83983572895278,53.0
200,4,64109,69388438.85208073,29941691.753284045,204.85318275154003,82.0
