Evaluation,Target,Horizon_Days,Model,MAE,RMSE,MAPE_%,WAPE_%
Validation_2024,Quantity,7,Naive,448.57142857142856,497.0093416770813,9.178619455960268,8.891909495086797
Validation_2024,Quantity,7,Seasonal_Naive_7D,136.14285714285714,172.34724084989418,2.693319940619873,2.6987228499419476
Validation_2024,Quantity,30,Naive,359.76666666666665,391.0811936158526,7.118353538728255,6.9465093677794725
Validation_2024,Quantity,30,Seasonal_Naive_7D,218.46666666666667,268.6325867549703,4.160748964914215,4.218236115670033
Validation_2024,Quantity,90,Naive,425.4,576.2610712361388,7.264128508340237,7.605875551776611
Validation_2024,Quantity,90,Seasonal_Naive_7D,604.2111111111111,764.8983737871471,10.242735508938614,10.802902017188016
Validation_2024,Sales_Amount,7,Naive,1400020.35969043,1475989.8744478354,8.298046813357239,8.113734183030779
Validation_2024,Sales_Amount,7,Seasonal_Naive_7D,512838.1390311598,658313.5762162323,2.9245608149892983,2.9721227339430203
Validation_2024,Sales_Amount,30,Naive,1113554.927374748,1187599.9636553703,6.3594205752729405,6.277241162521221
Validation_2024,Sales_Amount,30,Seasonal_Naive_7D,846075.5747043716,1016451.6573265782,4.678440975137653,4.769428335842428
Validation_2024,Sales_Amount,90,Naive,1404447.6079167542,1748458.9731766135,7.131012036295918,7.385002820969124
Validation_2024,Sales_Amount,90,Seasonal_Naive_7D,1994551.2495724857,2342371.477229365,10.119474507564211,10.487943104199708
Test_2025,Quantity,7,Naive,221.42857142857142,349.5033210551388,3.9575877928677348,4.212528876206006
Test_2025,Quantity,7,Seasonal_Naive_7D,139.28571428571428,195.68524289203384,2.672244136618974,2.6498165511618423
Test_2025,Quantity,30,Naive,346.8666666666667,479.8751921072812,6.089991923330041,6.423139598044542
Test_2025,Quantity,30,Seasonal_Naive_7D,243.36666666666667,295.1245499784794,4.4228250781939975,4.506567576909782
Test_2025,Quantity,90,Naive,787.0888888888888,970.4209853918499,12.698337606034551,13.467812464352258
Test_2025,Quantity,90,Seasonal_Naive_7D,620.3,778.9996220224443,10.06736310334529,10.61390166926499
Test_2025,Sales_Amount,7,Naive,935737.0031034334,1302430.7216089342,4.9708383196035815,5.20850530176651
Test_2025,Sales_Amount,7,Seasonal_Naive_7D,534776.8422424895,687806.9898697847,2.9874350145437925,2.9766782855054736
Test_2025,Sales_Amount,30,Naive,1410936.5334113154,1827848.5612741974,7.300541255921841,7.642772584437936
Test_2025,Sales_Amount,30,Seasonal_Naive_7D,900048.6239711755,1079851.759321208,4.768639375270052,4.875390767093184
Test_2025,Sales_Amount,90,Naive,2797852.2873927024,3240683.2850743113,13.51816620216474,14.093489460576558
Test_2025,Sales_Amount,90,Seasonal_Naive_7D,2077428.3934215698,2421832.5305723734,10.100517183902637,10.464532134065424
