Evaluation,Horizon_Days,Model,MAE,RMSE,MAPE_%,WAPE_%
Validation_2024,7,Seasonal Naive (7-day),136.14285714285714,172.34724084989418,2.693319940619873,2.6987228499419476
Validation_2024,7,Linear Regression,55.42500524934959,74.34151165869733,1.1463628777951307,1.0986748130870987
Validation_2024,7,Random Forest,76.0248114257516,87.91674146133072,1.4855531210308284,1.5070191713540653
Validation_2024,7,HistGradientBoosting,73.75912926664152,86.66914795237885,1.472904193246413,1.4621071697858883
Validation_2024,30,Seasonal Naive (7-day),218.46666666666667,268.6325867549703,4.160748964914215,4.218236115670033
Validation_2024,30,Linear Regression,77.24526412240817,89.4819795466246,1.5054945948440746,1.4914804526347853
Validation_2024,30,Random Forest,67.38368643047055,104.96316576639111,1.2619617552625242,1.3010694219163665
Validation_2024,30,HistGradientBoosting,73.6915800772065,90.77812252411326,1.4136529058735252,1.4228645918635767
Validation_2024,90,Seasonal Naive (7-day),604.2111111111111,764.8983737871471,10.242735508938614,10.802902017188016
Validation_2024,90,Linear Regression,121.94171824533642,147.70727105271268,2.1893979827119616,2.1802386778181386
Validation_2024,90,Random Forest,143.91291074858847,208.52780167785357,2.3877636421881254,2.573069321691816
Validation_2024,90,HistGradientBoosting,109.09279719362061,151.89974216886236,1.8589282057457746,1.950508319346223
Test_2025,7,Seasonal Naive (7-day),139.28571428571428,195.68524289203384,2.672244136618974,2.6498165511618423
Test_2025,7,Linear Regression,88.48175123473824,99.71640816724548,1.713889415872775,1.6833054997775994
Test_2025,7,Random Forest,56.349905627704956,63.65710811106011,1.070989217116058,1.0720188596111826
Test_2025,7,HistGradientBoosting,58.595816210121875,68.39183318786493,1.11900721124583,1.11474579010967
Test_2025,30,Seasonal Naive (7-day),243.36666666666667,295.1245499784794,4.4228250781939975,4.506567576909782
Test_2025,30,Linear Regression,110.54788381332149,121.68771672791938,2.086916723848163,2.047081943113701
Test_2025,30,Random Forest,93.81676930550823,157.46850729215856,1.649408488434067,1.7372617890260031
Test_2025,30,HistGradientBoosting,85.6279004668297,116.28587466571271,1.5443857010674191,1.5856235580989155
Test_2025,90,Seasonal Naive (7-day),620.3,778.9996220224443,10.06736310334529,10.61390166926499
Test_2025,90,Linear Regression,132.51410845465278,154.44194272766484,2.2825603263790364,2.2674378799419657
Test_2025,90,Random Forest,256.1403997412463,329.63686953789596,4.136749727586644,4.382797060099656
Test_2025,90,HistGradientBoosting,230.79157619287062,293.75853151844086,3.7543755942331303,3.9490554502753636
